No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
265,Adrenal Gland,HSD3B2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
266,Adrenal Gland,INHA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
267,Adrenal Gland,KCNA4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
268,Adrenal Gland,KCNMB4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
269,Adrenal Gland,LRRTM3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
270,Adrenal Gland,LUZP2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
271,Adrenal Gland,NDRG4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
272,Adrenal Gland,PENK,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
273,Adrenal Gland,PNMT,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
274,Adrenal Gland,RALYL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
275,Adrenal Gland,RGN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
276,Adrenal Gland,RTL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
277,Adrenal Gland,RXFP3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
278,Adrenal Gland,SLC16A9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
279,Adrenal Gland,TMEM130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
280,Adrenal Gland,TMEM179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
281,Adrenal Gland,UCP1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
282,Adrenal Gland,UNC5A,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
283,Adrenal Gland,VWA5B2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
284,Adrenal Gland,ACSBG1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
285,Adrenal Gland,AKR1B1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
286,Adrenal Gland,ASTN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
287,Adrenal Gland,BABAM2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
288,Adrenal Gland,C1QTNF8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
289,Adrenal Gland,CHRNB4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
